id,entry_id,filename,url,type,is_primary
"29772","14611","mining.png","https://craftpix.net/wp-content/uploads/2024/10/Mining-Pixel-Icons-1.png","Default","1"
"29773","14612","digging.png","https://img.icons8.com/color/48/shovel.png","Default","1"
"29774","14613","building.png","https://img.icons8.com/color/48/hammer.png","Default","1"
"29775","14614","crafting.png","https://img.icons8.com/color/48/gear.png","Default","1"
"29776","14615","place_block.png","https://img.icons8.com/color/48/brick-wall.png","Default","1"
"29777","14616","breaking.png","https://img.icons8.com/color/48/demolish.png","Default","1"
"29778","14617","collecting.png","https://img.icons8.com/color/48/collect.png","Default","1"
"29779","14618","gathering.png","https://img.icons8.com/color/48/oak-tree.png","Default","1"
"29780","14619","exploring.png","https://img.icons8.com/color/48/compass.png","Default","1"
"29781","14620","attack.png","https://img.icons8.com/color/48/sword.png","Default","1"
"29782","14621","defend.png","https://img.icons8.com/color/48/shield.png","Default","1"
"29783","14622","running.png","https://img.icons8.com/color/48/running.png","Default","1"
"29784","14623","jumping.png","https://img.icons8.com/color/48/jumping.png","Default","1"
"29785","14624","climbing.png","https://img.icons8.com/color/48/ladder.png","Default","1"
"29786","14625","swimming.png","https://img.icons8.com/color/48/swimming.png","Default","1"
"29787","14626","flying.png","https://img.icons8.com/color/48/wings.png","Default","1"
"29788","14627","teleport.png","https://img.icons8.com/color/48/teleport.png","Default","1"
"29789","14628","respawn.png","https://img.icons8.com/color/48/respawn.png","Default","1"
"29790","14629","heal.png","https://img.icons8.com/color/48/health-heart.png","Default","1"
"29791","14630","enchant.png","https://img.icons8.com/color/48/magic-wand.png","Default","1"
"29792","14631","deep.png","https://img.icons8.com/color/48/elevator-down.png","Default","1"
"29793","14632","shallow.png","https://img.icons8.com/color/48/water-level.png","Default","1"
"29794","14633","dark.png","https://img.icons8.com/color/48/night.png","Default","1"
"29795","14634","bright.png","https://img.icons8.com/color/48/sun.png","Default","1"
"29796","14635","dangerous.png","https://img.icons8.com/color/48/danger.png","Default","1"
"29797","14636","safe.png","https://img.icons8.com/color/48/security-checked.png","Default","1"
"29798","14637","rare.png","https://img.icons8.com/color/48/diamond.png","Default","1"
"29799","14638","common.png","https://img.icons8.com/color/48/coal.png","Default","1"
"29800","14639","strong.png","https://img.icons8.com/color/48/muscle.png","Default","1"
"29801","14640","weak.png","https://img.icons8.com/color/48/broken-link.png","Default","1"
"29802","14641","fast.png","https://img.icons8.com/color/48/speed.png","Default","1"
"29803","14642","slow.png","https://img.icons8.com/color/48/snail.png","Default","1"
"29804","14643","full.png","https://img.icons8.com/color/48/full-trash.png","Default","1"
"29805","14644","empty.png","https://img.icons8.com/color/48/empty-trash.png","Default","1"
"29806","14645","broken.png","https://img.icons8.com/color/48/broken-tool.png","Default","1"
"29807","14646","new.png","https://img.icons8.com/color/48/new.png","Default","1"
"29808","14647","old.png","https://img.icons8.com/color/48/vintage.png","Default","1"
"29809","14648","north.png","https://img.icons8.com/color/48/north-direction.png","Default","1"
"29810","14649","south.png","https://img.icons8.com/color/48/south-direction.png","Default","1"
"29811","14650","east.png","https://img.icons8.com/color/48/east-direction.png","Default","1"
"29812","14651","west.png","https://img.icons8.com/color/48/west-direction.png","Default","1"
"29813","14652","up.png","https://img.icons8.com/color/48/up-arrow.png","Default","1"
"29814","14653","down.png","https://img.icons8.com/color/48/down-arrow.png","Default","1"
"29815","14654","left.png","https://img.icons8.com/color/48/left-arrow.png","Default","1"
"29816","14655","right.png","https://img.icons8.com/color/48/right-arrow.png","Default","1"
"29817","14656","forward.png","https://img.icons8.com/color/48/forward.png","Default","1"
"29818","14657","backward.png","https://img.icons8.com/color/48/backward.png","Default","1"
"29819","14658","inside.png","https://img.icons8.com/color/48/enter.png","Default","1"
"29820","14659","outside.png","https://img.icons8.com/color/48/exit.png","Default","1"
"29821","14660","above.png","https://img.icons8.com/color/48/ceiling.png","Default","1"
"29822","14661","below.png","https://img.icons8.com/color/48/floor.png","Default","1"
"29823","14662","nearby.png","https://img.icons8.com/color/48/near-me.png","Default","1"
"29824","14663","far.png","https://img.icons8.com/color/48/long-distance.png","Default","1"
"29825","14664","close.png","https://img.icons8.com/color/48/close.png","Default","1"
"29826","14665","health.png","https://img.icons8.com/color/48/heart-with-pulse.png","Default","1"
"29827","14666","hunger.png","https://img.icons8.com/color/48/steak.png","Default","1"
"29828","14667","experience.png","https://img.icons8.com/color/48/star.png","Default","1"
"29829","14668","level.png","https://img.icons8.com/color/48/level-up.png","Default","1"
"29830","14669","damage.png","https://img.icons8.com/color/48/explosion.png","Default","1"
"29831","14670","durability.png","https://img.icons8.com/color/48/hammer-and-wrench.png","Default","1"
"29832","14671","inventory.png","https://img.icons8.com/color/48/backpack.png","Default","1"
"29833","14672","hotbar.png","https://img.icons8.com/color/48/menu-bar.png","Default","1"
"29834","14673","coordinates.png","https://img.icons8.com/color/48/location.png","Default","1"
"29835","14674","spawn.png","https://img.icons8.com/color/48/home.png","Default","1"
"29836","14675","day.png","https://img.icons8.com/color/48/sun.png","Default","1"
"29837","14676","night.png","https://img.icons8.com/color/48/moon.png","Default","1"
"29838","14677","morning.png","https://img.icons8.com/color/48/sunrise.png","Default","1"
"29839","14678","evening.png","https://img.icons8.com/color/48/sunset.png","Default","1"
"29840","14679","sunrise.png","https://img.icons8.com/color/48/dawn.png","Default","1"
"29841","14680","sunset.png","https://img.icons8.com/color/48/dusk.png","Default","1"
"29842","14681","dawn.png","https://img.icons8.com/color/48/morning.png","Default","1"
"29843","14682","dusk.png","https://img.icons8.com/color/48/twilight.png","Default","1"
"29844","14683","rain.png","https://img.icons8.com/color/48/rain.png","Default","1"
"29845","14684","storm.png","https://img.icons8.com/color/48/storm.png","Default","1"
"29846","14685","thunder.png","https://img.icons8.com/color/48/thunder.png","Default","1"
"29847","14686","lightning.png","https://img.icons8.com/color/48/lightning-bolt.png","Default","1"
"29848","14687","clear.png","https://img.icons8.com/color/48/sunny.png","Default","1"
"29849","14688","cloudy.png","https://img.icons8.com/color/48/clouds.png","Default","1"
"29850","14689","snow.png","https://img.icons8.com/color/48/snow.png","Default","1"
"29851","14690","help.png","https://img.icons8.com/color/48/sos.png","Default","1"
"29852","14691","stuck.png","https://img.icons8.com/color/48/trapped.png","Default","1"
"29853","14692","falling.png","https://img.icons8.com/color/48/falling-down.png","Default","1"
"29854","14693","lava.png","https://img.icons8.com/color/48/lava.png","Default","1"
"29855","14694","drowning.png","https://img.icons8.com/color/48/drowning.png","Default","1"
